album_id,name,release_date,total_tracks,album_url
1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans,2010-10-05,10,https://open.spotify.com/album/1uyf3l2d4XYwiEqAb7t7fX
3JSWZWeTHF4HDGt5Eozdy7,Good Girl Gone Bad: Reloaded,2008-06-02,15,https://open.spotify.com/album/3JSWZWeTHF4HDGt5Eozdy7
2fYhqwDWXjbpjaIJPEfKFw,thank u next,2019-02-08,12,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw
3euz4vS7ezKGnNSwgyvKcd,Positions,2020-10-30,14,https://open.spotify.com/album/3euz4vS7ezKGnNSwgyvKcd
2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,13,https://open.spotify.com/album/2QJmrSgbdM35R67eoGQo4j
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,26,https://open.spotify.com/album/4hDok0OAJd57SGIT8xuWJH
2eQMC9nJE3f3hCNKlYYHL1,Teenage Dream,2010-01-01,12,https://open.spotify.com/album/2eQMC9nJE3f3hCNKlYYHL1
3AvPX1B1HiFROvYjLb5Qwi,25,2015-11-20,11,https://open.spotify.com/album/3AvPX1B1HiFROvYjLb5Qwi
0Lg1uZvI312TPqxNWShFXL,21,2011-01-24,11,https://open.spotify.com/album/0Lg1uZvI312TPqxNWShFXL
6s84u2TUpR3wdUv4NgKA2j,SOUR,2021-05-21,11,https://open.spotify.com/album/6s84u2TUpR3wdUv4NgKA2j
08jWgM4vSkTose4blKBWov,In The Lonely Hour,2014-05-26,10,https://open.spotify.com/album/08jWgM4vSkTose4blKBWov
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20,14,https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj
56yYgfX6M5FlpETfyZSHkn,Confident,2015-01-01,11,https://open.spotify.com/album/56yYgfX6M5FlpETfyZSHkn
49yHvRh1cOfLcEKukEP7Ox,When The Sun Goes Down,2011-01-01,12,https://open.spotify.com/album/49yHvRh1cOfLcEKukEP7Ox
3Vsbl0diFGw8HNSjG8ue9m,Romance,2019-12-06,14,https://open.spotify.com/album/3Vsbl0diFGw8HNSjG8ue9m
2dqn5yOQWdyGwOpOIi9O4x,Fearless,2008-11-11,13,https://open.spotify.com/album/2dqn5yOQWdyGwOpOIi9O4x
