artist_id,artist_name,artist_url
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR
06HL4z0CvFAxyc27GXpf02,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
6jJ0s89eD6GaHleKKya26X,Katy Perry,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X
4dpARuHxo51G3z768sgnrY,Adele,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG
2wY79sveU1sp5g7SokKOiI,Sam Smith,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp
6dJeKm76NjfXBNTpHmOhfO,Selena Gomez & The Scene,https://open.spotify.com/artist/6dJeKm76NjfXBNTpHmOhfO
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF
4r63FhuTkUYltbVAg5TQnk,DaBaby,https://open.spotify.com/artist/4r63FhuTkUYltbVAg5TQnk
